name,thumbnail
21s Bicep Curl,None
Ab Scissors,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/28931101-Scissors-(advanced)-(female)_small_thumbnail@3x.jpg
Ab Wheel,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/08571201-Wheel-Rollout_Waist_thumbnail@3x.jpg
Aerobics,None
Air Bike,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/38931101-Assault-Bike-Run_Cardio_small_thumbnail_@3x.jpg
Arnold Press (Dumbbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/02871201-Dumbbell-Arnold-Press-II_Shoulders_thumbnail@3x.jpg
Around The World,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/02881201-Dumbbell-Around-Pullover_Chest_thumbnail@3x.jpg
Assisted Pistol Squats,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/17621101-Single-Leg-Squat-with-Support-(pistol)_Thighs_small_thumbnail@3x.jpg
Back Extension (Hyperextension),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/18601201-Hyperextension-(VERSION-2)_Hips_thumbnail@3x.jpg
Back Extension (Machine),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/05731201-Lever-Back-Extension_Waist_thumbnail@3x.jpg
Back Extension (Weighted Hyperextension),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/12341101-Plate-Hyperextension_Hips_small_thumbnail@3x.jpg
Ball Slams,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/13541101-Medicine-Ball-Overhead-Slam_Back_small_thumbnail@3x.jpg
Band Pullaparts,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/15031101-Band-Pull-Apart_Shoulders_small_thumbnail@3x.jpg
Battle Ropes,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/01281201-Battling-Ropes_thumbnail@3x.jpg
Behind the Back Bicep Wrist Curl (Barbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/01041101-Barbell-Standing-Back-Wrist-Curl_Forearms_small_thumbnail@3x.jpg
Bench Dip,https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/13991201-Bench-dip-on-floor_Upper-Arms_thumbnail@3x.jpg
Bench Press (Barbell),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/00251201-Barbell-Bench-Press_Chest_thumbnail@3x.jpg
Bench Press (Cable),https://pump-app.s3.eu-west-2.amazonaws.com/exercise-thumbnails/01511201-Cable-Bench-Press_Chest_thumbnail@3x.jpg
